"","school","sex","age","Pstatus","Medu","Fedu","traveltime","studytime","failures","higher","internet","absences","G1","G2","G3"
"1","Gabriel Pereira","F",18,"A",4,4,2,2,0,"yes","no",6,5,6,6
"2","Gabriel Pereira","F",17,"T",1,1,1,2,0,"yes","yes",4,5,5,6
"3","Gabriel Pereira","F",15,"T",1,1,1,2,3,"yes","yes",10,7,8,10
"4","Gabriel Pereira","F",15,"T",4,2,1,3,0,"yes","yes",2,15,14,15
"5","Gabriel Pereira","F",16,"T",3,3,1,2,0,"yes","no",4,6,10,10
"6","Gabriel Pereira","M",16,"T",4,3,1,2,0,"yes","yes",10,15,15,15
"7","Gabriel Pereira","M",16,"T",2,2,1,2,0,"yes","yes",0,12,12,11
"8","Gabriel Pereira","F",17,"A",4,4,2,2,0,"yes","no",6,6,5,6
"9","Gabriel Pereira","M",15,"A",3,2,1,2,0,"yes","yes",0,16,18,19
"10","Gabriel Pereira","M",15,"T",3,4,1,2,0,"yes","yes",0,14,15,15
"11","Gabriel Pereira","F",15,"T",4,4,1,2,0,"yes","yes",0,10,8,9
"12","Gabriel Pereira","F",15,"T",2,1,3,3,0,"yes","yes",4,10,12,12
"13","Gabriel Pereira","M",15,"T",4,4,1,1,0,"yes","yes",2,14,14,14
"14","Gabriel Pereira","M",15,"T",4,3,2,2,0,"yes","yes",2,10,10,11
"15","Gabriel Pereira","M",15,"A",2,2,1,3,0,"yes","yes",0,14,16,16
"16","Gabriel Pereira","F",16,"T",4,4,1,1,0,"yes","yes",4,14,14,14
"17","Gabriel Pereira","F",16,"T",4,4,1,3,0,"yes","yes",6,13,14,14
"18","Gabriel Pereira","F",16,"T",3,3,3,2,0,"yes","no",4,8,10,10
"19","Gabriel Pereira","M",17,"T",3,2,1,1,3,"yes","yes",16,6,5,5
"20","Gabriel Pereira","M",16,"T",4,3,1,1,0,"yes","yes",4,8,10,10
"21","Gabriel Pereira","M",15,"T",4,3,1,2,0,"yes","yes",0,13,14,15
"22","Gabriel Pereira","M",15,"T",4,4,1,1,0,"yes","yes",0,12,15,15
"23","Gabriel Pereira","M",16,"T",4,2,1,2,0,"yes","yes",2,15,15,16
"24","Gabriel Pereira","M",16,"T",2,2,2,2,0,"yes","yes",0,13,13,12
"25","Gabriel Pereira","F",15,"T",2,4,1,3,0,"yes","yes",2,10,9,8
"26","Gabriel Pereira","F",16,"T",2,2,1,1,2,"yes","yes",14,6,9,8
"27","Gabriel Pereira","M",15,"T",2,2,1,1,0,"yes","yes",2,12,12,11
"28","Gabriel Pereira","M",15,"T",4,2,1,1,0,"yes","yes",4,15,16,15
"29","Gabriel Pereira","M",16,"A",3,4,1,2,0,"yes","yes",4,11,11,11
"30","Gabriel Pereira","M",16,"T",4,4,1,2,0,"yes","yes",16,10,12,11
"31","Gabriel Pereira","M",15,"T",4,4,1,2,0,"yes","yes",0,9,11,12
"32","Gabriel Pereira","M",15,"T",4,4,2,2,0,"yes","yes",0,17,16,17
"33","Gabriel Pereira","M",15,"T",4,3,1,2,0,"yes","yes",0,17,16,16
"34","Gabriel Pereira","M",15,"T",3,3,1,2,0,"yes","yes",0,8,10,12
"35","Gabriel Pereira","M",16,"T",3,2,1,1,0,"yes","yes",0,12,14,15
"36","Gabriel Pereira","F",15,"T",2,3,2,1,0,"yes","no",0,8,7,6
"37","Gabriel Pereira","M",15,"T",4,3,1,3,0,"yes","yes",2,15,16,18
"38","Gabriel Pereira","M",16,"A",4,4,2,3,0,"yes","yes",7,15,16,15
"39","Gabriel Pereira","F",15,"T",3,4,1,3,0,"yes","yes",2,12,12,11
"40","Gabriel Pereira","F",15,"T",2,2,1,1,0,"yes","no",8,14,13,13
"41","Gabriel Pereira","F",16,"T",2,2,2,2,1,"yes","yes",25,7,10,11
"42","Gabriel Pereira","M",15,"T",4,4,1,1,0,"yes","yes",8,12,12,12
"43","Gabriel Pereira","M",15,"T",4,4,1,2,0,"yes","yes",2,19,18,18
"44","Gabriel Pereira","M",15,"T",2,2,1,1,0,"yes","yes",0,8,8,11
"45","Gabriel Pereira","F",16,"T",2,2,2,2,1,"yes","yes",14,10,10,9
"46","Gabriel Pereira","F",15,"A",4,3,1,2,0,"yes","yes",8,8,8,6
"47","Gabriel Pereira","F",16,"A",3,3,1,2,0,"yes","yes",12,11,12,11
"48","Gabriel Pereira","M",16,"T",4,3,1,4,0,"yes","yes",4,19,19,20
"49","Gabriel Pereira","M",15,"T",4,2,1,2,0,"yes","no",2,15,15,14
"50","Gabriel Pereira","F",15,"T",4,4,1,2,1,"yes","yes",2,7,7,7
"51","Gabriel Pereira","F",16,"T",2,2,3,2,0,"yes","yes",2,12,13,13
"52","Gabriel Pereira","F",15,"T",4,2,1,2,0,"yes","yes",2,11,13,13
"53","Gabriel Pereira","M",15,"A",4,2,2,1,1,"yes","no",6,11,11,10
"54","Gabriel Pereira","F",15,"T",4,4,1,1,0,"yes","yes",0,8,10,11
"55","Gabriel Pereira","F",15,"A",3,3,1,1,0,"yes","yes",6,10,13,13
"56","Gabriel Pereira","F",16,"A",2,1,1,2,0,"yes","yes",8,8,9,10
"57","Gabriel Pereira","F",15,"A",4,3,1,2,0,"yes","yes",0,14,15,15
"58","Gabriel Pereira","M",15,"T",4,4,1,2,0,"yes","no",4,14,15,15
"59","Gabriel Pereira","M",15,"T",1,2,1,2,0,"yes","yes",2,9,10,9
"60","Gabriel Pereira","F",16,"T",4,2,1,2,0,"yes","yes",2,15,16,16
"61","Gabriel Pereira","F",16,"T",4,4,1,2,0,"yes","no",6,10,11,11
"62","Gabriel Pereira","F",16,"T",1,1,4,1,0,"yes","yes",6,10,8,11
"63","Gabriel Pereira","F",16,"T",1,2,1,2,0,"yes","yes",4,8,10,9
"64","Gabriel Pereira","F",16,"T",4,3,1,3,0,"yes","yes",2,10,9,9
"65","Gabriel Pereira","F",15,"T",4,3,1,2,0,"yes","yes",0,10,10,10
"66","Gabriel Pereira","F",16,"T",4,3,3,2,0,"yes","yes",2,16,15,15
"67","Gabriel Pereira","M",15,"A",4,4,1,4,0,"yes","yes",4,13,13,12
"68","Gabriel Pereira","F",16,"T",3,1,1,4,0,"yes","yes",4,7,7,6
"69","Gabriel Pereira","F",15,"T",2,2,2,2,0,"yes","yes",2,8,9,8
"70","Gabriel Pereira","F",15,"T",3,1,2,4,0,"yes","yes",12,16,16,16
"71","Gabriel Pereira","M",16,"T",3,1,2,4,0,"yes","yes",0,13,15,15
"72","Gabriel Pereira","M",15,"T",4,2,1,4,0,"yes","yes",0,10,10,10
"73","Gabriel Pereira","F",15,"T",1,1,1,2,2,"yes","yes",2,8,6,5
"74","Gabriel Pereira","M",16,"T",3,1,1,1,0,"yes","no",2,12,12,14
"75","Gabriel Pereira","F",16,"T",3,3,1,2,0,"yes","yes",54,11,12,11
"76","Gabriel Pereira","M",15,"T",4,3,1,2,0,"yes","yes",6,9,9,10
"77","Gabriel Pereira","M",15,"T",4,0,2,4,0,"yes","yes",8,11,11,10
"78","Gabriel Pereira","F",16,"T",2,2,1,4,0,"yes","yes",0,11,11,11
"79","Gabriel Pereira","M",17,"T",2,1,2,1,3,"no","yes",2,8,8,10
"80","Gabriel Pereira","F",16,"T",3,4,1,2,0,"yes","yes",12,5,5,5
"81","Gabriel Pereira","M",15,"T",2,3,1,1,0,"yes","yes",2,10,12,12
"82","Gabriel Pereira","M",15,"T",2,3,1,3,0,"yes","yes",4,11,10,11
"83","Gabriel Pereira","F",15,"T",3,2,1,2,0,"yes","yes",10,7,6,6
"84","Gabriel Pereira","M",15,"T",2,2,2,2,0,"yes","yes",4,15,15,15
"85","Gabriel Pereira","F",15,"T",1,1,1,2,0,"yes","yes",2,9,10,10
"86","Gabriel Pereira","F",15,"T",4,4,2,2,2,"yes","yes",6,7,9,8
"87","Gabriel Pereira","F",16,"T",2,2,1,2,0,"yes","no",4,8,7,6
"88","Gabriel Pereira","F",15,"T",4,2,1,3,0,"yes","yes",4,13,14,14
"89","Gabriel Pereira","M",16,"T",2,2,2,2,1,"yes","yes",12,11,10,10
"90","Gabriel Pereira","M",16,"A",4,4,1,2,0,"yes","no",18,8,6,7
"91","Gabriel Pereira","F",16,"T",3,3,1,3,0,"yes","yes",0,7,7,8
"92","Gabriel Pereira","F",15,"T",4,3,1,1,0,"yes","yes",4,16,17,18
"93","Gabriel Pereira","F",16,"T",3,1,1,2,0,"yes","no",4,7,6,6
"94","Gabriel Pereira","F",16,"T",4,2,2,2,0,"yes","yes",0,11,10,10
"95","Gabriel Pereira","M",15,"T",2,2,1,4,0,"yes","yes",6,11,13,14
"96","Gabriel Pereira","F",15,"T",1,1,2,4,1,"yes","yes",2,7,10,10
"97","Gabriel Pereira","M",16,"T",4,3,2,1,0,"yes","yes",2,11,15,15
"98","Gabriel Pereira","F",16,"T",2,1,1,2,0,"yes","no",2,8,9,10
"99","Gabriel Pereira","F",16,"T",4,4,1,1,0,"yes","yes",6,11,14,14
"100","Gabriel Pereira","F",16,"T",4,3,1,3,0,"yes","yes",0,7,9,8
"101","Gabriel Pereira","M",16,"T",4,4,1,1,0,"yes","yes",14,7,7,5
"102","Gabriel Pereira","M",16,"T",4,4,1,3,0,"yes","yes",0,16,17,17
"103","Gabriel Pereira","M",15,"T",4,4,1,1,0,"yes","yes",4,10,13,14
"104","Gabriel Pereira","F",15,"T",3,2,2,2,0,"yes","yes",26,7,6,6
"105","Gabriel Pereira","M",15,"A",3,4,1,2,0,"yes","yes",0,16,18,18
"106","Gabriel Pereira","F",15,"A",3,3,1,4,0,"yes","no",10,10,11,11
"107","Gabriel Pereira","F",15,"T",2,2,1,4,0,"yes","yes",8,7,8,8
"108","Gabriel Pereira","M",16,"T",3,3,1,3,0,"yes","yes",2,16,18,18
"109","Gabriel Pereira","M",15,"T",4,4,4,4,0,"yes","yes",6,10,13,13
"110","Gabriel Pereira","F",16,"T",4,4,1,3,0,"yes","yes",4,14,15,16
"111","Gabriel Pereira","M",15,"A",4,4,1,1,0,"yes","yes",6,18,19,19
"112","Gabriel Pereira","F",16,"T",3,3,1,3,1,"yes","yes",0,7,10,10
"113","Gabriel Pereira","F",16,"T",2,2,1,2,1,"yes","yes",6,10,13,13
"114","Gabriel Pereira","M",15,"T",4,2,1,1,0,"yes","yes",10,18,19,19
"115","Gabriel Pereira","M",15,"T",2,1,1,2,0,"yes","yes",8,9,9,9
"116","Gabriel Pereira","M",16,"T",4,4,1,2,0,"yes","yes",2,15,15,16
"117","Gabriel Pereira","M",15,"T",4,4,2,2,0,"yes","no",2,11,13,14
"118","Gabriel Pereira","M",16,"T",3,3,2,1,0,"yes","yes",0,13,14,13
"119","Gabriel Pereira","M",17,"T",1,3,3,2,1,"yes","yes",20,9,7,8
"120","Gabriel Pereira","M",15,"T",3,4,1,1,0,"yes","yes",6,14,13,13
"121","Gabriel Pereira","F",15,"T",1,2,1,2,0,"yes","yes",2,16,15,15
"122","Gabriel Pereira","M",15,"T",2,2,1,4,0,"yes","yes",6,16,14,15
"123","Gabriel Pereira","F",16,"T",2,4,2,2,0,"yes","yes",2,13,13,13
"124","Gabriel Pereira","M",16,"T",4,4,1,1,0,"yes","yes",18,14,11,13
"125","Gabriel Pereira","F",16,"T",2,2,1,2,0,"yes","yes",0,8,7,8
"126","Gabriel Pereira","M",15,"T",3,4,1,1,0,"yes","yes",0,13,13,12
"127","Gabriel Pereira","F",15,"A",3,4,1,2,0,"yes","yes",0,7,10,11
"128","Gabriel Pereira","F",19,"T",0,1,1,2,3,"no","no",2,7,8,9
"129","Gabriel Pereira","M",18,"T",2,2,1,1,2,"yes","yes",0,7,4,0
"130","Gabriel Pereira","M",16,"T",4,4,1,1,0,"yes","yes",8,18,18,18
"131","Gabriel Pereira","F",15,"T",3,4,2,3,2,"yes","yes",0,12,0,0
"132","Gabriel Pereira","F",15,"T",1,1,3,1,0,"yes","yes",0,8,0,0
"133","Gabriel Pereira","F",17,"T",2,2,1,1,0,"yes","yes",12,10,13,12
"134","Gabriel Pereira","F",16,"A",3,4,1,1,0,"yes","yes",16,12,11,11
"135","Gabriel Pereira","M",15,"T",3,4,4,2,0,"yes","no",0,9,0,0
"136","Gabriel Pereira","F",15,"T",4,4,1,3,0,"yes","yes",0,11,0,0
"137","Gabriel Pereira","M",17,"T",3,4,3,2,0,"yes","no",0,10,0,0
"138","Gabriel Pereira","F",16,"A",3,3,2,1,2,"yes","yes",0,4,0,0
"139","Gabriel Pereira","M",16,"T",1,1,1,2,1,"yes","no",0,14,12,12
"140","Gabriel Pereira","F",15,"T",4,4,2,1,0,"yes","yes",0,16,16,15
"141","Gabriel Pereira","M",15,"T",4,3,2,4,0,"yes","yes",0,7,9,0
"142","Gabriel Pereira","M",16,"T",2,2,2,1,2,"yes","yes",8,9,9,9
"143","Gabriel Pereira","F",15,"T",4,4,1,3,0,"yes","yes",2,9,11,11
"144","Gabriel Pereira","F",16,"T",1,1,1,1,0,"yes","yes",2,14,14,13
"145","Gabriel Pereira","M",17,"T",2,1,1,1,3,"yes","yes",0,5,0,0
"146","Gabriel Pereira","F",15,"T",1,1,1,2,0,"yes","yes",0,8,11,11
"147","Gabriel Pereira","F",15,"T",3,2,1,2,3,"yes","yes",0,6,7,0
"148","Gabriel Pereira","F",15,"T",1,2,1,2,0,"yes","yes",2,10,11,11
"149","Gabriel Pereira","M",16,"T",4,4,1,1,0,"no","yes",0,7,6,0
"150","Gabriel Pereira","M",15,"A",2,1,4,1,3,"yes","yes",0,8,9,10
"151","Gabriel Pereira","M",18,"T",1,1,1,1,3,"no","yes",0,6,5,0
"152","Gabriel Pereira","M",16,"T",2,1,1,1,1,"yes","no",6,12,13,14
"153","Gabriel Pereira","F",15,"T",3,3,2,3,2,"yes","yes",8,10,10,10
"154","Gabriel Pereira","M",19,"T",3,2,1,1,3,"no","yes",0,5,0,0
"155","Gabriel Pereira","F",17,"T",4,4,1,1,0,"yes","no",0,11,11,12
"156","Gabriel Pereira","M",15,"T",2,3,1,2,0,"yes","no",2,11,8,8
"157","Gabriel Pereira","M",17,"T",1,2,1,1,0,"yes","no",8,16,12,13
"158","Gabriel Pereira","F",18,"T",1,1,3,1,3,"yes","no",6,9,8,10
"159","Gabriel Pereira","M",16,"T",2,2,3,1,0,"yes","no",2,17,15,15
"160","Gabriel Pereira","M",16,"T",3,3,1,2,1,"yes","yes",4,10,12,12
"161","Gabriel Pereira","M",17,"T",2,1,2,1,2,"no","yes",0,7,6,0
"162","Gabriel Pereira","M",15,"T",3,2,2,2,2,"yes","yes",6,5,9,7
"163","Gabriel Pereira","M",16,"T",1,2,2,1,1,"yes","no",0,7,0,0
"164","Gabriel Pereira","M",17,"T",1,3,1,1,0,"no","yes",2,10,10,10
"165","Gabriel Pereira","M",17,"T",1,1,4,2,3,"no","no",0,5,8,7
"166","Gabriel Pereira","M",16,"T",3,2,2,1,1,"no","no",16,12,11,12
"167","Gabriel Pereira","M",16,"T",2,2,1,2,0,"no","yes",4,10,10,10
"168","Gabriel Pereira","F",16,"T",4,2,1,2,0,"yes","yes",0,14,15,16
"169","Gabriel Pereira","F",16,"T",2,2,1,2,0,"yes","yes",0,6,7,0
"170","Gabriel Pereira","F",16,"T",4,4,1,2,0,"yes","yes",0,14,14,14
"171","Gabriel Pereira","M",16,"T",3,4,3,1,2,"yes","yes",0,6,5,0
"172","Gabriel Pereira","M",16,"T",1,0,2,2,0,"yes","yes",2,13,15,16
"173","Gabriel Pereira","M",17,"T",4,4,1,2,0,"yes","yes",0,13,11,10
"174","Gabriel Pereira","F",16,"T",1,3,1,2,3,"yes","yes",0,8,7,0
"175","Gabriel Pereira","F",16,"T",3,3,2,2,0,"yes","yes",4,10,11,9
"176","Gabriel Pereira","M",17,"T",4,3,2,2,0,"yes","yes",4,10,9,9
"177","Gabriel Pereira","F",16,"T",2,2,2,2,0,"yes","yes",2,13,13,11
"178","Gabriel Pereira","M",17,"T",3,3,1,2,0,"yes","yes",4,6,5,6
"179","Gabriel Pereira","M",16,"T",4,2,1,1,0,"yes","yes",10,10,8,9
"180","Gabriel Pereira","M",17,"T",4,3,1,2,0,"yes","yes",4,10,10,11
"181","Gabriel Pereira","M",16,"T",4,3,1,2,0,"yes","yes",10,9,8,8
"182","Gabriel Pereira","M",16,"T",3,3,1,2,0,"yes","yes",2,12,13,12
"183","Gabriel Pereira","F",17,"T",2,4,1,2,0,"yes","no",0,16,17,17
"184","Gabriel Pereira","F",17,"T",3,3,1,2,0,"yes","yes",56,9,9,8
"185","Gabriel Pereira","F",16,"T",3,2,1,2,0,"yes","yes",14,12,13,12
"186","Gabriel Pereira","M",17,"T",3,3,1,2,0,"yes","yes",12,12,12,11
"187","Gabriel Pereira","M",16,"T",1,2,1,1,0,"yes","yes",2,11,12,11
"188","Gabriel Pereira","M",16,"T",2,1,1,2,0,"yes","yes",0,15,15,15
"189","Gabriel Pereira","F",17,"A",3,3,1,2,0,"yes","yes",6,8,7,9
"190","Gabriel Pereira","M",17,"T",1,2,1,2,0,"yes","no",4,8,9,10
"191","Gabriel Pereira","F",16,"T",2,3,1,2,0,"yes","yes",10,11,12,13
"192","Gabriel Pereira","F",17,"T",1,1,1,2,0,"yes","yes",0,8,8,9
"193","Gabriel Pereira","M",17,"T",1,2,2,2,0,"yes","yes",12,7,8,8
"194","Gabriel Pereira","M",16,"T",3,3,1,1,0,"yes","yes",8,8,9,10
"195","Gabriel Pereira","M",16,"T",2,3,2,1,0,"yes","yes",0,13,14,14
"196","Gabriel Pereira","F",17,"T",2,4,1,2,0,"yes","yes",0,14,15,15
"197","Gabriel Pereira","M",17,"T",4,4,1,1,0,"yes","yes",4,17,15,16
"198","Gabriel Pereira","M",16,"T",3,3,3,1,0,"yes","yes",8,9,9,10
"199","Gabriel Pereira","F",17,"T",4,4,2,1,1,"yes","yes",24,18,18,18
